respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,congenial,response_probe,question,condition,correct
28,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
28,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,0.0,dt,mc,0
30,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,1
30,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,1.0,aca2,mc,1
30,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
30,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,0.0,dt,mc,0
31,0.0,0.0,1.0,,,,closed,,,aca,mc,0
31,0.0,0.0,1.0,,,,closed,,0.0,aca2,mc,0
31,0.0,0.0,1.0,,,,closed,,,gg,mc,0
31,0.0,0.0,1.0,,,,closed,,0.0,dt,mc,0
32,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
32,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,0.0,aca2,mc,0
32,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
32,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
34,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,1
34,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,1.0,aca2,mc,1
34,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
34,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
35,,,,,0.0,1.0,closed,0.0,,aca,mc,0
35,,,,,0.0,1.0,closed,0.0,0.0,aca2,mc,0
35,,,,,0.0,1.0,closed,0.0,,gg,mc,0
35,,,,,0.0,1.0,closed,1.0,1.0,dt,mc,1
37,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
37,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
37,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
37,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,0.0,dt,mc,0
38,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
38,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
38,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
38,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,0.0,dt,mc,0
39,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
39,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
39,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
39,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
40,0.0,0.0,1.0,,,,closed,,,aca,mc,0
40,0.0,0.0,1.0,,,,closed,,0.0,aca2,mc,0
40,0.0,0.0,1.0,,,,closed,,,gg,mc,0
40,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
44,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,0
44,1.0,0.0,0.0,,1.0,0.0,closed,1.0,1.0,aca2,mc,1
44,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,0
44,1.0,0.0,0.0,,1.0,0.0,closed,0.0,0.0,dt,mc,0
45,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
45,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
45,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
45,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,0.0,dt,mc,0
47,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
