respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,questions,responses,scale_correct_10,scale_correct_7,scale_mc_c_10,scale_mc_c_8,congenial
1,0,1,0,0,0,rg_s_aca_1,6,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_aca_2,7,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_aca_3,8,0,1,0,1,0
1,0,1,0,0,0,rg_s_aca_4,6,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_aca2_1,7,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_aca2_2,5,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_aca2_3,3,0,0,0,0,0
1,0,1,0,0,0,rg_s_aca2_4,7,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg_1,7,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg_2,6,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg_3,4,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg_4,6,0,0,0,0,0
1,0,1,0,0,0,rg_s_gg2_1,8,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg2_2,5,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg2_3,4,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_gg2_4,7,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_dt_1,7,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_dt_2,5,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_dt_3,4,0,0,NA,NA,0
1,0,1,0,0,0,rg_s_dt_4,7,0,0,0,0,1
2,0,0,1,NA,NA,rg_s_aca_1,5,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_aca_2,3,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_aca_3,7,0,0,0,0,NA
2,0,0,1,NA,NA,rg_s_aca_4,5,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_aca2_1,4,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_aca2_2,6,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_aca2_3,4,0,0,0,0,NA
2,0,0,1,NA,NA,rg_s_aca2_4,6,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_gg_1,4,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_gg_2,6,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_gg_3,4,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_gg_4,6,0,0,0,0,NA
2,0,0,1,NA,NA,rg_s_gg2_1,6,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_gg2_2,5,0,0,NA,NA,NA
2,0,0,1,NA,NA,rg_s_gg2_3,6,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_gg2_4,7,0,0,NA,NA,NA
2,0,0,1,NA,NA,rg_s_dt_1,5,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_dt_2,5,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_dt_3,6,0,0,NA,NA,0
2,0,0,1,NA,NA,rg_s_dt_4,6,0,0,0,0,NA
6,0,1,0,0,0,rg_s_aca_1,7,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_aca_2,3,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_aca_3,5,0,0,0,0,0
