respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,questions,responses,scale_correct_10,scale_correct_7,scale_mc_c_10,scale_mc_c_8,congenial
6,0,1,0,0,0,rg_s_aca_4,3,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_aca2_1,4,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_aca2_2,4,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_aca2_3,6,0,0,0,0,0
6,0,1,0,0,0,rg_s_aca2_4,6,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_gg_1,6,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_gg_2,6,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_gg_3,8,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_gg_4,6,0,0,0,0,0
6,0,1,0,0,0,rg_s_gg2_1,0,1,1,NA,NA,0
6,0,1,0,0,0,rg_s_gg2_2,9,0,1,NA,NA,0
6,0,1,0,0,0,rg_s_gg2_3,7,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_gg2_4,10,1,1,NA,NA,0
6,0,1,0,0,0,rg_s_dt_1,7,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_dt_2,8,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_dt_3,7,0,0,NA,NA,0
6,0,1,0,0,0,rg_s_dt_4,10,1,1,1,1,1
7,0,0,1,NA,NA,rg_s_aca_1,0,1,1,NA,NA,0
7,0,0,1,NA,NA,rg_s_aca_2,3,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_aca_3,5,0,0,0,0,NA
7,0,0,1,NA,NA,rg_s_aca_4,3,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_aca2_1,6,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_aca2_2,4,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_aca2_3,5,0,0,0,0,NA
7,0,0,1,NA,NA,rg_s_aca2_4,6,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_gg_1,10,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_gg_2,10,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_gg_3,10,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_gg_4,10,1,1,1,1,NA
7,0,0,1,NA,NA,rg_s_gg2_1,0,1,1,NA,NA,0
7,0,0,1,NA,NA,rg_s_gg2_2,6,0,0,NA,NA,NA
7,0,0,1,NA,NA,rg_s_gg2_3,2,0,1,NA,NA,0
7,0,0,1,NA,NA,rg_s_gg2_4,10,1,1,NA,NA,NA
7,0,0,1,NA,NA,rg_s_dt_1,10,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_dt_2,10,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_dt_3,10,0,0,NA,NA,0
7,0,0,1,NA,NA,rg_s_dt_4,10,1,1,1,1,NA
10,0,0,1,NA,NA,rg_s_aca_1,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_aca_2,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_aca_3,5,0,0,0,0,NA
10,0,0,1,NA,NA,rg_s_aca_4,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_aca2_1,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_aca2_2,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_aca2_3,5,0,0,0,0,NA
10,0,0,1,NA,NA,rg_s_aca2_4,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_gg_1,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_gg_2,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_gg_3,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_gg_4,5,0,0,0,0,NA
10,0,0,1,NA,NA,rg_s_gg2_1,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_gg2_2,5,0,0,NA,NA,NA
10,0,0,1,NA,NA,rg_s_gg2_3,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_gg2_4,5,0,0,NA,NA,NA
10,0,0,1,NA,NA,rg_s_dt_1,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_dt_2,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_dt_3,5,0,0,NA,NA,0
10,0,0,1,NA,NA,rg_s_dt_4,5,0,0,0,0,NA
16,1,0,0,NA,1,rg_s_aca_1,1,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_aca_2,2,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_aca_3,4,0,0,0,0,1
16,1,0,0,NA,1,rg_s_aca_4,7,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_aca2_1,1,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_aca2_2,6,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_aca2_3,3,0,0,0,0,1
16,1,0,0,NA,1,rg_s_aca2_4,2,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_gg_1,2,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_gg_2,3,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_gg_3,8,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_gg_4,8,0,1,0,1,1
16,1,0,0,NA,1,rg_s_gg2_1,1,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_gg2_2,1,0,0,NA,NA,1
16,1,0,0,NA,1,rg_s_gg2_3,1,0,1,NA,NA,0
16,1,0,0,NA,1,rg_s_gg2_4,9,0,1,NA,NA,1
16,1,0,0,NA,1,rg_s_dt_1,8,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_dt_2,5,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_dt_3,5,0,0,NA,NA,0
16,1,0,0,NA,1,rg_s_dt_4,8,0,1,0,1,0
17,1,0,0,1,1,rg_s_aca_1,4,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_aca_2,4,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_aca_3,6,0,0,0,0,1
17,1,0,0,1,1,rg_s_aca_4,8,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_aca2_1,2,0,1,NA,NA,0
17,1,0,0,1,1,rg_s_aca2_2,4,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_aca2_3,6,0,0,0,0,1
17,1,0,0,1,1,rg_s_aca2_4,4,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_gg_1,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_gg_2,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_gg_3,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_gg_4,9,0,1,0,1,1
17,1,0,0,1,1,rg_s_gg2_1,1,0,1,NA,NA,0
17,1,0,0,1,1,rg_s_gg2_2,7,0,0,NA,NA,1
17,1,0,0,1,1,rg_s_gg2_3,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_gg2_4,9,0,1,NA,NA,1
17,1,0,0,1,1,rg_s_dt_1,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_dt_2,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_dt_3,9,0,0,NA,NA,0
17,1,0,0,1,1,rg_s_dt_4,9,0,1,0,1,0
19,0,1,0,0,0,rg_s_aca_1,9,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_aca_2,10,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_aca_3,5,0,0,0,0,0
19,0,1,0,0,0,rg_s_aca_4,5,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_aca2_1,5,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_aca2_2,6,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_aca2_3,7,0,0,0,0,0
19,0,1,0,0,0,rg_s_aca2_4,9,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_gg_1,4,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_gg_2,4,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_gg_3,9,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_gg_4,7,0,0,0,0,0
19,0,1,0,0,0,rg_s_gg2_1,2,0,1,NA,NA,0
19,0,1,0,0,0,rg_s_gg2_2,5,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_gg2_3,4,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_gg2_4,7,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_dt_1,10,0,0,NA,NA,0
19,0,1,0,0,0,rg_s_dt_2,1,0,1,NA,NA,0
19,0,1,0,0,0,rg_s_dt_3,1,0,1,NA,NA,0
19,0,1,0,0,0,rg_s_dt_4,9,0,1,0,1,1
21,1,0,0,1,1,rg_s_aca_1,7,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_aca_2,6,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_aca_3,7,0,0,0,0,1
21,1,0,0,1,1,rg_s_aca_4,8,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_aca2_1,7,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_aca2_2,8,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_aca2_3,5,0,0,0,0,1
21,1,0,0,1,1,rg_s_aca2_4,7,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_gg_1,3,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_gg_2,2,0,1,NA,NA,0
21,1,0,0,1,1,rg_s_gg_3,8,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_gg_4,5,0,0,0,0,1
21,1,0,0,1,1,rg_s_gg2_1,8,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_gg2_2,3,0,0,NA,NA,1
21,1,0,0,1,1,rg_s_gg2_3,3,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_gg2_4,4,0,0,NA,NA,1
21,1,0,0,1,1,rg_s_dt_1,7,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_dt_2,4,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_dt_3,4,0,0,NA,NA,0
21,1,0,0,1,1,rg_s_dt_4,7,0,0,0,0,0
23,1,0,0,1,1,rg_s_aca_1,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_aca_2,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_aca_3,7,0,0,0,0,1
23,1,0,0,1,1,rg_s_aca_4,5,0,0,NA,NA,0
23,1,0,0,1,1,rg_s_aca2_1,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_aca2_2,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_aca2_3,8,0,1,0,1,1
23,1,0,0,1,1,rg_s_aca2_4,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_gg_1,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_gg_2,3,0,0,NA,NA,0
23,1,0,0,1,1,rg_s_gg_3,7,0,0,NA,NA,0
23,1,0,0,1,1,rg_s_gg_4,5,0,0,0,0,1
23,1,0,0,1,1,rg_s_gg2_1,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_gg2_2,4,0,0,NA,NA,1
23,1,0,0,1,1,rg_s_gg2_3,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_gg2_4,5,0,0,NA,NA,1
23,1,0,0,1,1,rg_s_dt_1,0,1,1,NA,NA,0
23,1,0,0,1,1,rg_s_dt_2,1,0,1,NA,NA,0
23,1,0,0,1,1,rg_s_dt_3,2,0,1,NA,NA,0
23,1,0,0,1,1,rg_s_dt_4,8,0,1,0,1,0
26,1,0,0,1,1,rg_s_aca_1,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_aca_2,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_aca_3,1,0,0,0,0,1
26,1,0,0,1,1,rg_s_aca_4,5,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_aca2_1,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_aca2_2,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_aca2_3,2,0,0,0,0,1
26,1,0,0,1,1,rg_s_aca2_4,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_gg_1,9,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_gg_2,9,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_gg_3,9,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_gg_4,9,0,1,0,1,1
26,1,0,0,1,1,rg_s_gg2_1,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_gg2_2,1,0,0,NA,NA,1
26,1,0,0,1,1,rg_s_gg2_3,1,0,1,NA,NA,0
26,1,0,0,1,1,rg_s_gg2_4,9,0,1,NA,NA,1
26,1,0,0,1,1,rg_s_dt_1,10,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_dt_2,9,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_dt_3,9,0,0,NA,NA,0
26,1,0,0,1,1,rg_s_dt_4,9,0,1,0,1,0
29,1,0,0,1,1,rg_s_aca_1,2,0,1,NA,NA,0
29,1,0,0,1,1,rg_s_aca_2,3,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_aca_3,3,0,0,0,0,1
29,1,0,0,1,1,rg_s_aca_4,1,0,1,NA,NA,0
29,1,0,0,1,1,rg_s_aca2_1,2,0,1,NA,NA,0
29,1,0,0,1,1,rg_s_aca2_2,2,0,1,NA,NA,0
29,1,0,0,1,1,rg_s_aca2_3,2,0,0,0,0,1
29,1,0,0,1,1,rg_s_aca2_4,2,0,1,NA,NA,0
29,1,0,0,1,1,rg_s_gg_1,7,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_gg_2,6,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_gg_3,7,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_gg_4,7,0,0,0,0,1
29,1,0,0,1,1,rg_s_gg2_1,7,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_gg2_2,7,0,0,NA,NA,1
29,1,0,0,1,1,rg_s_gg2_3,6,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_gg2_4,7,0,0,NA,NA,1
29,1,0,0,1,1,rg_s_dt_1,7,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_dt_2,5,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_dt_3,5,0,0,NA,NA,0
29,1,0,0,1,1,rg_s_dt_4,7,0,0,0,0,0
33,1,0,0,1,1,rg_s_aca_1,4,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_aca_2,5,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_aca_3,7,0,0,0,0,1
33,1,0,0,1,1,rg_s_aca_4,6,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_aca2_1,4,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_aca2_2,6,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_aca2_3,4,0,0,0,0,1
33,1,0,0,1,1,rg_s_aca2_4,5,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_gg_1,4,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_gg_2,4,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_gg_3,9,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_gg_4,9,0,1,0,1,1
33,1,0,0,1,1,rg_s_gg2_1,1,0,1,NA,NA,0
33,1,0,0,1,1,rg_s_gg2_2,9,0,1,NA,NA,1
33,1,0,0,1,1,rg_s_gg2_3,8,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_gg2_4,9,0,1,NA,NA,1
33,1,0,0,1,1,rg_s_dt_1,4,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_dt_2,3,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_dt_3,5,0,0,NA,NA,0
33,1,0,0,1,1,rg_s_dt_4,4,0,0,0,0,0
36,1,0,0,1,1,rg_s_aca_1,5,0,0,NA,NA,0
36,1,0,0,1,1,rg_s_aca_2,4,0,0,NA,NA,0
36,1,0,0,1,1,rg_s_aca_3,2,0,0,0,0,1
36,1,0,0,1,1,rg_s_aca_4,2,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_aca2_1,0,1,1,NA,NA,0
36,1,0,0,1,1,rg_s_aca2_2,2,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_aca2_3,2,0,0,0,0,1
36,1,0,0,1,1,rg_s_aca2_4,1,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_gg_1,1,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_gg_2,1,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_gg_3,10,0,0,NA,NA,0
36,1,0,0,1,1,rg_s_gg_4,5,0,0,0,0,1
36,1,0,0,1,1,rg_s_gg2_1,2,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_gg2_2,6,0,0,NA,NA,1
36,1,0,0,1,1,rg_s_gg2_3,1,0,1,NA,NA,0
36,1,0,0,1,1,rg_s_gg2_4,10,1,1,NA,NA,1
36,1,0,0,1,1,rg_s_dt_1,10,0,0,NA,NA,0
36,1,0,0,1,1,rg_s_dt_2,6,0,0,NA,NA,0
36,1,0,0,1,1,rg_s_dt_3,6,0,0,NA,NA,0
36,1,0,0,1,1,rg_s_dt_4,8,0,1,0,1,0
41,1,0,0,1,1,rg_s_aca_1,2,0,1,NA,NA,0
41,1,0,0,1,1,rg_s_aca_2,5,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_aca_3,5,0,0,0,0,1
41,1,0,0,1,1,rg_s_aca_4,7,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_aca2_1,7,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_aca2_2,9,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_aca2_3,7,0,0,0,0,1
41,1,0,0,1,1,rg_s_aca2_4,2,0,1,NA,NA,0
41,1,0,0,1,1,rg_s_gg_1,10,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_gg_2,8,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_gg_3,10,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_gg_4,10,1,1,1,1,1
41,1,0,0,1,1,rg_s_gg2_1,5,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_gg2_2,5,0,0,NA,NA,1
41,1,0,0,1,1,rg_s_gg2_3,2,0,1,NA,NA,0
41,1,0,0,1,1,rg_s_gg2_4,7,0,0,NA,NA,1
41,1,0,0,1,1,rg_s_dt_1,3,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_dt_2,2,0,1,NA,NA,0
41,1,0,0,1,1,rg_s_dt_3,3,0,0,NA,NA,0
41,1,0,0,1,1,rg_s_dt_4,3,0,0,0,0,0
42,1,0,0,1,1,rg_s_aca_1,0,1,1,NA,NA,0
42,1,0,0,1,1,rg_s_aca_2,7,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_aca_3,3,0,0,0,0,1
42,1,0,0,1,1,rg_s_aca_4,5,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_aca2_1,2,0,1,NA,NA,0
42,1,0,0,1,1,rg_s_aca2_2,5,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_aca2_3,2,0,0,0,0,1
42,1,0,0,1,1,rg_s_aca2_4,6,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_gg_1,7,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_gg_2,2,0,1,NA,NA,0
42,1,0,0,1,1,rg_s_gg_3,10,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_gg_4,10,1,1,1,1,1
42,1,0,0,1,1,rg_s_gg2_1,0,1,1,NA,NA,0
42,1,0,0,1,1,rg_s_gg2_2,5,0,0,NA,NA,1
42,1,0,0,1,1,rg_s_gg2_3,3,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_gg2_4,10,1,1,NA,NA,1
42,1,0,0,1,1,rg_s_dt_1,5,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_dt_2,5,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_dt_3,8,0,0,NA,NA,0
42,1,0,0,1,1,rg_s_dt_4,8,0,1,0,1,0
43,1,0,0,1,1,rg_s_aca_1,5,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_aca_2,7,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_aca_3,8,0,1,0,1,1
43,1,0,0,1,1,rg_s_aca_4,8,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_aca2_1,7,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_aca2_2,8,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_aca2_3,5,0,0,0,0,1
43,1,0,0,1,1,rg_s_aca2_4,3,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_gg_1,8,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_gg_2,7,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_gg_3,10,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_gg_4,10,1,1,1,1,1
43,1,0,0,1,1,rg_s_gg2_1,7,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_gg2_2,6,0,0,NA,NA,1
43,1,0,0,1,1,rg_s_gg2_3,5,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_gg2_4,10,1,1,NA,NA,1
43,1,0,0,1,1,rg_s_dt_1,7,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_dt_2,8,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_dt_3,8,0,0,NA,NA,0
43,1,0,0,1,1,rg_s_dt_4,10,1,1,1,1,0
46,0,0,1,NA,0,rg_s_aca_1,4,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_aca_2,3,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_aca_3,7,0,0,0,0,0
46,0,0,1,NA,0,rg_s_aca_4,5,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_aca2_1,0,1,1,NA,NA,0
46,0,0,1,NA,0,rg_s_aca2_2,3,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_aca2_3,5,0,0,0,0,0
46,0,0,1,NA,0,rg_s_aca2_4,4,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_gg_1,5,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_gg_2,5,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_gg_3,8,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_gg_4,8,0,1,0,1,0
46,0,0,1,NA,0,rg_s_gg2_1,1,0,1,NA,NA,0
46,0,0,1,NA,0,rg_s_gg2_2,8,0,1,NA,NA,0
46,0,0,1,NA,0,rg_s_gg2_3,1,0,1,NA,NA,0
46,0,0,1,NA,0,rg_s_gg2_4,10,1,1,NA,NA,0
46,0,0,1,NA,0,rg_s_dt_1,6,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_dt_2,7,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_dt_3,7,0,0,NA,NA,0
46,0,0,1,NA,0,rg_s_dt_4,10,1,1,1,1,1
49,1,0,0,1,1,rg_s_aca_1,5,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_aca_2,0,1,1,NA,NA,0
49,1,0,0,1,1,rg_s_aca_3,8,0,1,0,1,1
49,1,0,0,1,1,rg_s_aca_4,0,1,1,NA,NA,0
49,1,0,0,1,1,rg_s_aca2_1,0,1,1,NA,NA,0
49,1,0,0,1,1,rg_s_aca2_2,0,1,1,NA,NA,0
49,1,0,0,1,1,rg_s_aca2_3,5,0,0,0,0,1
49,1,0,0,1,1,rg_s_aca2_4,0,1,1,NA,NA,0
49,1,0,0,1,1,rg_s_gg_1,9,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_gg_2,10,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_gg_3,10,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_gg_4,10,1,1,1,1,1
49,1,0,0,1,1,rg_s_gg2_1,3,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_gg2_2,8,0,1,NA,NA,1
49,1,0,0,1,1,rg_s_gg2_3,0,1,1,NA,NA,0
49,1,0,0,1,1,rg_s_gg2_4,10,1,1,NA,NA,1
49,1,0,0,1,1,rg_s_dt_1,6,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_dt_2,3,0,0,NA,NA,0
49,1,0,0,1,1,rg_s_dt_3,2,0,1,NA,NA,0
