respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
209,1,0,0,1,1,0,closed,dt_correct,1,0,1
211,1,0,0,NA,1,0,closed,aca_correct,0,1,NA
211,1,0,0,NA,1,0,closed,aca2_correct,0,1,0
211,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
211,1,0,0,NA,1,0,closed,dt_correct,0,0,0
212,1,0,0,1,1,0,closed,aca_correct,1,1,NA
212,1,0,0,1,1,0,closed,aca2_correct,0,1,0
212,1,0,0,1,1,0,closed,gg_correct,1,1,NA
212,1,0,0,1,1,0,closed,dt_correct,1,0,1
213,0,0,1,NA,0,0,open,aca_correct,1,0,NA
213,0,0,1,NA,0,0,open,aca2_correct,0,0,0
