respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
24,0,1,0,0,0,1,open,aca2_correct,1,0,1
24,0,1,0,0,0,1,open,gg_correct,0,0,NA
24,0,1,0,0,0,1,open,dt_correct,0,1,0
25,0,1,0,0,0,1,closed,aca_correct,0,0,NA
25,0,1,0,0,0,1,closed,aca2_correct,0,0,0
25,0,1,0,0,0,1,closed,gg_correct,1,0,NA
25,0,1,0,0,0,1,closed,dt_correct,1,1,1
27,0,1,0,0,0,1,closed,aca_correct,0,0,NA
27,0,1,0,0,0,1,closed,aca2_correct,0,0,0
27,0,1,0,0,0,1,closed,gg_correct,1,0,NA
27,0,1,0,0,0,1,closed,dt_correct,1,1,1
28,1,0,0,1,1,0,closed,aca_correct,1,1,NA
28,1,0,0,1,1,0,closed,aca2_correct,1,1,1
28,1,0,0,1,1,0,closed,gg_correct,0,1,NA
28,1,0,0,1,1,0,closed,dt_correct,0,0,0
30,1,0,0,1,1,0,open,aca_correct,1,1,NA
30,1,0,0,1,1,0,open,aca2_correct,1,1,1
30,1,0,0,1,1,0,open,gg_correct,0,1,NA
30,1,0,0,1,1,0,open,dt_correct,0,0,0
31,0,0,1,NA,NA,NA,closed,aca_correct,0,NA,NA
31,0,0,1,NA,NA,NA,closed,aca2_correct,0,NA,0
31,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
31,0,0,1,NA,NA,NA,closed,dt_correct,0,NA,0
32,1,0,0,1,1,0,open,aca_correct,0,1,NA
32,1,0,0,1,1,0,open,aca2_correct,0,1,0
32,1,0,0,1,1,0,open,gg_correct,0,1,NA
32,1,0,0,1,1,0,open,dt_correct,1,0,1
34,1,0,0,1,1,0,open,aca_correct,1,1,NA
34,1,0,0,1,1,0,open,aca2_correct,1,1,1
34,1,0,0,1,1,0,open,gg_correct,0,1,NA
34,1,0,0,1,1,0,open,dt_correct,1,0,1
35,NA,NA,NA,NA,0,1,closed,aca_correct,0,0,NA
35,NA,NA,NA,NA,0,1,closed,aca2_correct,0,0,0
35,NA,NA,NA,NA,0,1,closed,gg_correct,0,0,NA
35,NA,NA,NA,NA,0,1,closed,dt_correct,1,1,1
37,1,0,0,1,1,0,closed,aca_correct,0,1,NA
37,1,0,0,1,1,0,closed,aca2_correct,0,1,0
37,1,0,0,1,1,0,closed,gg_correct,0,1,NA
37,1,0,0,1,1,0,closed,dt_correct,0,0,0
38,1,0,0,1,1,0,closed,aca_correct,0,1,NA
38,1,0,0,1,1,0,closed,aca2_correct,0,1,0
38,1,0,0,1,1,0,closed,gg_correct,0,1,NA
38,1,0,0,1,1,0,closed,dt_correct,0,0,0
39,0,1,0,0,0,1,closed,aca_correct,0,0,NA
39,0,1,0,0,0,1,closed,aca2_correct,0,0,0
39,0,1,0,0,0,1,closed,gg_correct,0,0,NA
39,0,1,0,0,0,1,closed,dt_correct,1,1,1
40,0,0,1,NA,NA,NA,closed,aca_correct,0,NA,NA
40,0,0,1,NA,NA,NA,closed,aca2_correct,0,NA,0
40,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
40,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
44,1,0,0,NA,1,0,closed,aca_correct,0,1,NA
44,1,0,0,NA,1,0,closed,aca2_correct,1,1,1
